date,symbol,close_price
2021-01-01,XRP,0.2372
2021-01-01,SOL,1.837
2021-01-01,ETH,729.12
2021-01-01,BTC,"29,359.90"
2021-01-02,XRP,0.3716
2021-01-02,SOL,4.622
2021-01-02,ETH,"1,373.40"
2021-01-02,BTC,"33,515.70"
2021-01-03,XRP,0.4455
2021-01-03,SOL,14.983
2021-01-03,ETH,"1,570.03"
2021-01-03,BTC,"49,595.50"
2021-01-04,XRP,0.5705
2021-01-04,SOL,19.07
2021-01-04,ETH,"1,967.96"
2021-01-04,BTC,"58,718.30"
2021-01-05,XRP,1.6507
2021-01-05,SOL,49.61
2021-01-05,ETH,"2,944.66"
2021-01-05,BTC,"57,807.10"
2021-01-06,XRP,1.0106
2021-01-06,SOL,31.002
2021-01-06,ETH,"2,633.67"
2021-01-06,BTC,"36,687.60"
2021-01-07,XRP,0.66
2021-01-07,SOL,33.375
2021-01-07,ETH,"2,109.11"
2021-01-07,BTC,"33,543.60"
2021-01-08,XRP,0.7248
2021-01-08,SOL,34.276
2021-01-08,ETH,"2,556.23"
2021-01-08,BTC,"39,878.30"
2021-01-09,XRP,1.2364
2021-01-09,SOL,111.06
2021-01-09,ETH,"3,832.73"
2021-01-09,BTC,"48,819.40"
2021-01-10,XRP,1.0412
2021-01-10,SOL,161.623
2021-01-10,ETH,"3,309.13"
2021-01-10,BTC,"48,146.00"
2021-01-11,XRP,1.0921
2021-01-11,SOL,203.454
2021-01-11,ETH,"4,320.85"
2021-01-11,BTC,"60,915.30"
2021-01-12,XRP,0.9896
2021-01-12,SOL,229.829
2021-01-12,ETH,"4,583.28"
2021-01-12,BTC,"57,210.30"
2021-02-01,XRP,0.221
2021-02-01,SOL,1.796
2021-02-01,ETH,774.5
2021-02-01,BTC,"32,193.30"
2021-02-02,XRP,0.3723
2021-02-02,SOL,5.257
2021-02-02,ETH,"1,511.36"
2021-02-02,BTC,"35,485.20"
2021-02-03,XRP,0.4358
2021-02-03,SOL,13.974
2021-02-03,ETH,"1,488.62"
2021-02-03,BTC,"48,424.20"
2021-02-04,XRP,0.6068
2021-02-04,SOL,19.749
2021-02-04,ETH,"2,134.55"
2021-02-04,BTC,"58,977.30"
2021-02-05,XRP,1.5611
2021-02-05,SOL,46.913
2021-02-05,ETH,"2,950.33"
2021-02-05,BTC,"56,603.80"
2021-02-06,XRP,1.0244
2021-02-06,SOL,34.009
2021-02-06,ETH,"2,706.10"
2021-02-06,BTC,"37,555.80"
2021-02-07,XRP,0.6563
2021-02-07,SOL,34
2021-02-07,ETH,"2,154.78"
2021-02-07,BTC,"33,813.40"
2021-02-08,XRP,0.7386
2021-02-08,SOL,33.169
2021-02-08,ETH,"2,608.04"
2021-02-08,BTC,"39,168.40"
2021-02-09,XRP,1.2541
2021-02-09,SOL,128.071
2021-02-09,ETH,"3,786.19"
2021-02-09,BTC,"49,274.30"
2021-02-10,XRP,1.0362
2021-02-10,SOL,169.08
2021-02-10,ETH,"3,388.97"
2021-02-10,BTC,"47,666.90"
2021-02-11,XRP,1.1351
2021-02-11,SOL,220.678
2021-02-11,ETH,"4,586.06"
2021-02-11,BTC,"63,221.70"
2021-02-12,XRP,0.9722
2021-02-12,SOL,233.785
2021-02-12,ETH,"4,512.90"
2021-02-12,BTC,"56,496.00"
2021-03-01,XRP,0.2248
2021-03-01,SOL,2.161
2021-03-01,ETH,974.97
2021-03-01,BTC,"32,958.90"
2021-03-02,XRP,0.3973
2021-03-02,SOL,5.719
2021-03-02,ETH,"1,664.34"
2021-03-02,BTC,"37,646.80"
2021-03-03,XRP,0.4484
2021-03-03,SOL,14.131
2021-03-03,ETH,"1,571.05"
2021-03-03,BTC,"50,395.10"
2021-03-04,XRP,0.5789
2021-03-04,SOL,22.466
2021-03-04,ETH,"2,008.59"
2021-03-04,BTC,"57,059.90"
2021-03-05,XRP,1.5547
2021-03-05,SOL,45.904
2021-03-05,ETH,"3,429.37"
2021-03-05,BTC,"57,169.80"
2021-03-06,XRP,1.0443
2021-03-06,SOL,39.461
2021-03-06,ETH,"2,853.35"
2021-03-06,BTC,"39,187.30"
2021-03-07,XRP,0.6764
2021-03-07,SOL,34.801
2021-03-07,ETH,"2,224.70"
2021-03-07,BTC,"34,742.80"
2021-03-08,XRP,0.7132
2021-03-08,SOL,33.96
2021-03-08,ETH,"2,506.65"
2021-03-08,BTC,"38,130.30"
2021-03-09,XRP,1.2898
2021-03-09,SOL,146.14
2021-03-09,ETH,"3,936.29"
2021-03-09,BTC,"49,999.00"
2021-03-10,XRP,1.055
2021-03-10,SOL,172.745
2021-03-10,ETH,"3,417.34"
2021-03-10,BTC,"48,200.10"
2021-03-11,XRP,1.2101
2021-03-11,SOL,243.272
2021-03-11,ETH,"4,602.21"
2021-03-11,BTC,"62,918.50"
2021-03-12,XRP,0.9213
2021-03-12,SOL,212.047
2021-03-12,ETH,"4,219.30"
2021-03-12,BTC,"53,631.50"
2021-04-01,XRP,0.2357
2021-04-01,SOL,2.489
2021-04-01,ETH,"1,042.40"
2021-04-01,BTC,"32,022.60"
2021-04-02,XRP,0.4443
2021-04-02,SOL,6.42
2021-04-02,ETH,"1,594.00"
2021-04-02,BTC,"36,982.10"
2021-04-03,XRP,0.4809
2021-04-03,SOL,13.112
2021-04-03,ETH,"1,538.61"
2021-04-03,BTC,"48,428.00"
2021-04-04,XRP,0.6349
2021-04-04,SOL,23.876
2021-04-04,ETH,"2,075.94"
2021-04-04,BTC,"58,199.90"
2021-04-05,XRP,1.3966
2021-04-05,SOL,42.705
2021-04-05,ETH,"3,286.71"
2021-04-05,BTC,"53,741.50"
2021-04-06,XRP,0.9693
2021-04-06,SOL,37.435
2021-04-06,ETH,"2,686.50"
2021-04-06,BTC,"36,851.30"
2021-04-07,XRP,0.6959
2021-04-07,SOL,34.36
2021-04-07,ETH,"2,323.22"
2021-04-07,BTC,"35,298.20"
2021-04-08,XRP,0.7306
2021-04-08,SOL,35.706
2021-04-08,ETH,"2,725.29"
2021-04-08,BTC,"39,736.90"
2021-04-09,XRP,1.2548
2021-04-09,SOL,139.09
2021-04-09,ETH,"3,884.97"
2021-04-09,BTC,"49,918.40"
2021-04-10,XRP,1.0416
2021-04-10,SOL,167.116
2021-04-10,ETH,"3,382.90"
2021-04-10,BTC,"49,227.30"
2021-04-11,XRP,1.2015
2021-04-11,SOL,247.144
2021-04-11,ETH,"4,535.11"
2021-04-11,BTC,"61,412.60"
2021-04-12,XRP,0.847
2021-04-12,SOL,201.088
2021-04-12,ETH,"4,123.46"
2021-04-12,BTC,"49,195.20"
2021-05-01,XRP,0.2254
2021-05-01,SOL,2.155
2021-05-01,ETH,"1,099.52"
2021-05-01,BTC,"33,991.50"
2021-05-02,XRP,0.4518
2021-05-02,SOL,6.5
2021-05-02,ETH,"1,719.20"
2021-05-02,BTC,"38,297.60"
2021-05-03,XRP,0.455
2021-05-03,SOL,12.572
2021-05-03,ETH,"1,530.29"
2021-05-03,BTC,"48,792.50"
2021-05-04,XRP,0.9132
2021-05-04,SOL,22.957
2021-05-04,ETH,"2,106.41"
2021-05-04,BTC,"58,993.40"
2021-05-05,XRP,1.614
2021-05-05,SOL,44.883
2021-05-05,ETH,"3,522.76"
2021-05-05,BTC,"57,441.30"
2021-05-06,XRP,0.9227
2021-05-06,SOL,39.559
2021-05-06,ETH,"2,628.98"
2021-05-06,BTC,"35,520.00"
2021-05-07,XRP,0.653
2021-05-07,SOL,32.966
2021-05-07,ETH,"2,196.16"
2021-05-07,BTC,"33,687.80"
2021-05-08,XRP,0.7331
2021-05-08,SOL,37.408
2021-05-08,ETH,"2,827.21"
2021-05-08,BTC,"40,867.20"
2021-05-09,XRP,1.306
2021-05-09,SOL,142.13
2021-05-09,ETH,"3,950.62"
2021-05-09,BTC,"51,768.60"
2021-05-10,XRP,1.0848
2021-05-10,SOL,164.619
2021-05-10,ETH,"3,517.26"
2021-05-10,BTC,"51,469.30"
2021-05-11,XRP,1.1583
2021-05-11,SOL,236.147
2021-05-11,ETH,"4,475.00"
2021-05-11,BTC,"60,974.30"
2021-05-12,XRP,0.8041
2021-05-12,SOL,196.444
2021-05-12,ETH,"4,194.80"
2021-05-12,BTC,"49,405.50"
2021-06-01,XRP,0.2487
2021-06-01,SOL,1.934
2021-06-01,ETH,"1,207.77"
2021-06-01,BTC,"36,793.20"
2021-06-02,XRP,0.4427
2021-06-02,SOL,6.12
2021-06-02,ETH,"1,676.63"
2021-06-02,BTC,"39,256.60"
2021-06-03,XRP,0.463
2021-06-03,SOL,12.924
2021-06-03,ETH,"1,649.19"
2021-06-03,BTC,"48,855.60"
2021-06-04,XRP,1.0906
2021-06-04,SOL,24.971
2021-06-04,ETH,"2,111.53"
2021-06-04,BTC,"57,996.30"
2021-06-05,XRP,1.6029
2021-06-05,SOL,43.446
2021-06-05,ETH,"3,489.52"
2021-06-05,BTC,"56,405.40"
2021-06-06,XRP,0.9449
2021-06-06,SOL,42.209
2021-06-06,ETH,"2,713.66"
2021-06-06,BTC,"35,815.40"
2021-06-07,XRP,0.6648
2021-06-07,SOL,33.643
2021-06-07,ETH,"2,322.72"
2021-06-07,BTC,"34,225.60"
2021-06-08,XRP,0.7469
2021-06-08,SOL,39.497
2021-06-08,ETH,"2,889.43"
2021-06-08,BTC,"42,795.40"
2021-06-09,XRP,1.3898
2021-06-09,SOL,164.17
2021-06-09,ETH,"3,927.21"
2021-06-09,BTC,"52,672.10"
2021-06-10,XRP,1.0762
2021-06-10,SOL,153.895
2021-06-10,ETH,"3,575.41"
2021-06-10,BTC,"55,323.20"
2021-06-11,XRP,1.1512
2021-06-11,SOL,258.477
2021-06-11,ETH,"4,517.36"
